cast_member_list,vote_average,movie_count
Denzel Washington,6.73,30
Denzel Whitaker,6.050000000000001,2
Denzil Smith,7.3,1
Deobia Oparei,5.0,1
Deon Richmond,5.1,2
Derek Almstead,5.5,1
Derek Brandon,5.5,1
Derek Jacobi,6.875,4
Derek Luke,6.457142857142857,7
Derek Magyar,4.8,1
Derek Mears,5.7,1
Derek Richardson,5.7,1
Derek Ting,3.5,1
Derek Waters,4.9,1
Derick Martini,7.0,1
Dermot Mulroney,6.326666666666667,15
Derrick Branche,6.6,1
Dervla Kirwan,6.5,1
Desmond Askew,4.4,1
Desmond Harrington,5.65,2
Dev Patel,6.42,5
Devan Leos,5.9,1
Devid Striesow,6.3,1
Devin Ratray,6.9,1
Devon Aoki,5.95,4
Devon Bostick,5.7,4
Devon Gearhart,6.3,1
Devon Gummersall,0.0,1
Devon Sawa,5.725,4
Dexter Fletcher,7.1,2
Dia Mirza,7.6,1
Diahann Carroll,2.9,1
Dian Bachar,6.2,1
Diana Bang,6.1,1
Diana Bracho,7.3,1
Diana Hardcastle,5.8,1
Diana Kent,7.0,1
Diana Körner,7.7,1
Diana Rigg,6.5,1
Diana Ross,5.9,1
Diana Scarwid,6.425,4
Diane Farr,6.6,1
Diane Gaidry,6.4,1
Diane Keaton,6.194444444444445,18
Diane Kruger,6.4799999999999995,10
Diane Lane,6.241666666666667,12
Diane Salinger,5.8,1
Diane Tayler,5.3,1
Diane Venora,5.375,4
Dianna Agron,6.35,2
Dianne Reeves,6.8,1
Dianne Wiest,6.5,9
Dick Anthony Williams,6.4,1
Dick Cavett,7.1,1
Dick Clark,7.3,1
Dick Haymes,6.2,1
Dick Miller,6.5,2
Dick Van Dyke,6.633333333333333,3
Didi Conn,7.2,1
Didier Bezace,5.3,1
Diedrich Bader,5.133333333333334,3
Diego Boneta,5.8,2
Diego Luna,6.8625,8
Diego Ramos,6.0,1
Diego Sieres,6.3,1
Diem Lien,5.0,1
Dileep Rao,6.2,1
Dilip Prabhavalkar,7.6,1
Dillon Freasier,7.9,1
Dina Abdullah,7.8,1
Dina Amer,7.8,1
Dina Korzun,6.0,1
Dina Meyer,5.825,4
Dina Spybey-Waters,6.5,1
Dinah Manoff,6.3,1
Diogo Morgado,5.9,1
Dionne Quan,5.6,1
Diora Baird,5.1000000000000005,3
Dirk Bogarde,6.9,1
Dirk Sanders,7.6,1
Diva Gray,6.5,1
Divine,6.2,1
Djemel Barek,6.6,1
Djimon Hounsou,5.96,10
Dmitriy Nagiev,5.1,1
Dody Goodman,6.1,1
Dolly Parton,6.300000000000001,2
Dolly Read,6.6,1
Dolly Wells,7.2,1
Dolores Heredia,7.0,1
Dolph Lundgren,5.4875,8
Dom DeLuise,5.6,4
Domhnall Gleeson,7.333333333333333,6
Dominic Colón,5.9,1
Dominic Cooper,6.1571428571428575,7
Dominic Purcell,5.279999999999999,5
Dominic West,6.144444444444444,9
Dominik García-Lorido,6.1000000000000005,3
Dominique Dunne,7.0,1
Dominique Frot,7.2,1
Dominique Louis,7.4,1
Dominique McElligott,7.6,1
Dominique Pinon,6.949999999999999,2
Dominique Sanda,6.3,2
Don Ameche,4.8,1
Don Austen,7.2,2
Don Brodie,6.9,1
Don Calfa,7.3,1
Don Cheadle,6.457142857142857,14
Don Curry,6.2,2
Don Gordon,6.5,1
Don Harvey,0.0,1
Don Hunter,6.9,1
Don Johnson,5.65,4
Don McKellar,6.375,4
Don Murray,6.1,1
Don Rickles,7.24,5
Don Shanks,5.2,1
Don Thompson,6.3,1
Don Wycherley,6.8,1
Donal Logue,5.6000000000000005,7
Donald Austin,6.9,1
Donald Crisp,6.3,2
Donald Faison,5.39,10
Donald Gibb,6.6,1
Donald Glover,5.1,1
Donald Holden,6.4,1
Donald L. Brooks,6.0,1
Donald Madden,7.1,1
Donald Moffat,7.8,1
Donald O'Connor,7.8,1
Donald Pleasence,6.08,5
Donald Sumpter,6.0,2
Donald Sutherland,6.144444444444444,18
Donald Wiegert,7.7,1
Donald Woods,6.7,1
Donatas Banionis,7.7,1
Donato Cruz,6.0,1
Dondre Whitfield,5.033333333333333,3
Donna Murphy,7.4,1
Donna Reed,7.6,2
Donnie Dunagan,6.8,1
Donnie Wahlberg,6.633333333333333,3
Donnie Yen,6.220000000000001,5
Donny Alamsyah,7.3,1
Donovan Scott,5.75,2
Donovan Womack ,4.9,1
Dora Bryan,6.6,1
Dorian Brown,6.3,1
Dorian Holley,6.7,1
Doris Brent,4.4,1
Doris Dowling,7.4,1
Doris Roberts,5.6,2
Dorka Gryllus,7.1,1
Dorothy Atkinson,6.3,1
Dorothy Lamour,6.25,2
Dorothy Lyman,5.6,1
Dorothy McGuire,6.8,1
Dorothy Stratten,3.3,1
Dorothy Tristan,7.0,1
Dorothée Berryman,6.7,1
Doskhan Zholzhaksynov,4.3,1
Dottie Alexander,5.5,1
Doug Berholt,6.2,1
Doug Block,6.8,1
Doug E. Doug,6.1,2
Doug Fahl,4.7,1
Doug Hutchison,6.3,2
Doug Jones,6.075,4
Doug Rand,6.0,1
Douglas Barr,4.7,1
Douglas Booth,5.533333333333334,3
Douglas Fairbanks Jr.,8.4,1
Douglas Ligon,6.9,1
Douglas M. Griffin,6.0,2
Douglas Rain,7.9,1
Douglas Sebern,6.7,1
Douglas Silva,8.1,1
Douglas Smith,5.466666666666666,3
Dougray Scott,5.785714285714286,7
Dov Tiefenbach,5.5,1
Dove Cameron,6.9,1
Dr. Dre,5.3,1
Dragomir Mrsic,6.5,1
Dragon,5.9,1
Drake Bell,5.3999999999999995,3
Drea de Matteo,6.0,1
Dreama Walker,6.3,1
Drew Barrymore,6.207999999999999,25
Drew Fuller,6.8,1
Drew Monson,3.7,1
Drew Sidora,5.5,1
Dror Harazi,7.8,1
Drum Garrett,7.0,1
Duane Jones,7.5,1
Duane Martin,5.5,1
Duane Whitaker,5.4,1
Duncan Fisher,4.6,1
Dustin Diamond,2.0,1
Dustin Hoffman,6.445454545454546,22
Dustin Ingram,4.4,1
Dustin Milligan,5.5,3
Dwain Murphy,3.0,1
Dwayne Johnson,5.985714285714286,21
Dwight Ewell,6.7,1
Dwight Henry,6.8,1
Dwight Yoakam,6.533333333333334,6
Dyan Cannon,6.1,2
Dylan Baker,6.1,9
Dylan Brown,6.6,1
Dylan Bruno,5.1,1
Dylan Haggerty,5.6,1
Dylan McDermott,5.6000000000000005,6
Dylan Minnette,6.15,2
Dylan Moran,6.85,2
Dylan O'Brien,6.7,2
Dylan Smith,6.1,1
Dylan Walsh,5.733333333333333,3
Dyllan Christopher,5.4,1
Dzana Pinjo,5.8,1
Déborah Révy,4.1,1
E-40,5.9,1
E. Danny Murphy,5.0,1
E. J. Peaker,5.0,1
E.G. Daily,5.66,5
E.G. Marshall,7.033333333333334,3
Eamonn Walker,6.675,4
Eartha Kitt,5.966666666666666,3
Ebon Moss-Bachrach,6.5,1
Ed Asner,4.45,4
Ed Begley,6.800000000000001,2
Ed Begley Jr.,5.95,2
Ed Flanders,6.8,1
Ed Gale,5.3,2
Ed Harris,6.756,25
Ed Helms,6.2,7
Ed Lauter,6.7,1
Ed McMahon,5.0,1
Ed O'Neill,5.800000000000001,2
Ed Oxenbould,6.05,2
Ed Quinn,3.5,1
Ed Sanders,7.2,1
Ed Skrein,6.300000000000001,2
Ed Speleers,5.733333333333333,3
Eddie Albert,7.2,1
Eddie Alfano,5.7,1
Eddie Bravo,5.8,1
Eddie Carmel,4.4,1
Eddie Cheung Siu-Fai,5.8,1
Eddie Cibrian,5.1,1
Eddie Collins,6.4,1
Eddie Deezen,6.4,1
Eddie Griffin,5.3625,8
Eddie Izzard,5.449999999999999,2
Eddie J. Fernandez,5.2,1
Eddie Jemison,6.7,1
Eddie Jones,5.3,1
Eddie Kaye Thomas,5.75,4
Eddie Marsan,6.76,5
Eddie Mills,10.0,1
Eddie Murphy,5.8,28
Eddie Redmayne,6.34,5
Eddie Vedder,5.9,1
Edgar Ramírez,6.014285714285714,7
Edi Gathegi,5.3,1
Edie Falco,5.449999999999999,2
Edie Martin,6.8,1
Edie McClurg,3.05,2
Edison Chen,5.2,1
Edith Evans,6.1,1
Edith Scob,6.9,1
Edmond O'Brien,7.5,2
Edmund Gwenn,6.9,1
Edmund McMillen,7.4,1
Edmund Purdom,6.0,1
Edoardo Gabbriellini,6.9,1
Edouard Baer,6.7,1
Edrick Browne,5.2,1
Eduard Fernández,6.3,2
Eduardo Luis,7.1,1
Eduardo Noriega,6.233333333333333,3
Eduardo Verástegui,5.65,2
Edward Arnold,7.466666666666666,3
Edward Burns,5.745454545454546,11
Edward Clements,7.0,1
Edward Everett Horton,7.4,1
Edward Fox,6.6,5
Edward Furlong,6.316666666666666,6
Edward Hardwicke,6.1,2
Edward Herrmann,6.04,5
Edward James Olmos,5.475,4
Edward Norton,6.71578947368421,19
Edward O'Blenis,5.9,1
Edwin Hodge,5.966666666666666,3
Efren Ramirez,6.175,4
Eileen Atkins,6.550000000000001,2
Eileen Brennan,5.8,3
Eileen Essell,6.0,2
Eileen Ryan,5.9,1
Eion Bailey,0.0,1
Eivind Sander,7.1,1
Ejner Federspiel,7.8,1
Elaine Cassidy,6.6,1
Elaine Hendrix,5.449999999999999,2
Elaine Stritch,5.300000000000001,2
Elden Henson,6.666666666666667,3
Eleanor Bron,7.050000000000001,2
Eleanor Parker,7.4,1
Eleanor Tomlinson,5.5,1
Elena Anaya,5.65,2
Elena Kampouris,5.5,1
Elena Lyadova,7.3,1
Elena Schuber,4.8,1
Elena Yakovleva,6.3,1
Elham Saboktakin,6.6,1
Eli Marienthal,7.05,2
Eli Roth,6.15,2
Eli Wallach,6.875,4
Elias Koteas,5.925,12
Elias Saba,6.8,1
Elias Toufexis,4.7,1
Elijah Cummings,7.0,1
Elijah Smith,7.5,1
Elijah Wood,6.513333333333334,15
Elina Abai Kyzy,0.0,1
Elina Benenson,7.7,1
Elina Salo,6.8,1
Elisa Gabrielli,6.3,1
Elisa Lasowski,4.1,1
Elisabeth Degen,6.3,1
Elisabeth Harnois,5.5,1
Elisabeth Moss,6.75,2
Elisabeth Shue,6.109090909090909,11
Elisabeth Wagner,3.7,1
Elise Muller,5.8,1
Elise Neal,6.033333333333334,3
Elisha Cuthbert,5.966666666666666,3
Elissa Dowling,3.2,1
Elissa Knight,7.8,1
Eliza Bennett,6.2,2
Eliza Coupe,5.7,1
Eliza Dushku,5.5200000000000005,5
Elizabeth Allen,6.0,1
Elizabeth Banks,6.323529411764706,17
Elizabeth Berkley,3.45,2
Elizabeth Berridge,7.8,1
Elizabeth Blackmore,6.4,1
Elizabeth Blake,5.5,1
Elizabeth Debicki,7.199999999999999,2
Elizabeth Franz,5.2,1
Elizabeth Hoffman,5.7,1
Elizabeth Hunter,5.4,1
Elizabeth Hurley,5.55,4
Elizabeth McGovern,7.35,2
Elizabeth Mitchell,6.2,3
Elizabeth Mkandawie,7.3,1
Elizabeth Morton,6.0,1
Elizabeth Olsen,5.966666666666666,3
Elizabeth Perkins,5.6571428571428575,7
Elizabeth Peña,6.15,4
Elizabeth Reaser,6.066666666666666,3
Elizabeth Sandy,6.2,1
Elizabeth Stenholt,7.0,1
Elizabeth Streb,5.0,1
Elizabeth Taylor,7.15,2
Elizabeth of Toro,5.0,1
Elizaveta Arzamasova,5.1,1
Ella Joyce,6.7,1
Ella Rae Peck,6.6,1
Ella Wahlestedt,5.7,1
Ellar Coltrane,7.5,1
Elle Fanning,6.25,8
Elle Macpherson,6.7,1
Elle Peterson,6.8,1
Ellen Barkin,6.328571428571428,7
Ellen Block,6.8,1
Ellen Burstyn,6.409999999999999,10
Ellen Crawford,7.7,1
Ellen DeGeneres,7.6,1
Ellen Greene,6.65,2
Ellen Hamilton Latzen,6.6,1
Ellen Muth,5.8,1
Ellen Page,6.8,8
Ellen Pompeo,6.55,2
Ellen Sandweiss,7.3,1
Ellen Wroe,5.9,1
Ellia English,5.5,1
Ellie Chidzey,4.8,1
Ellie Cornell,5.550000000000001,2
Ellie Grainger,6.3,1
Ellie Kemper,6.1,5
Elliott Gould,6.4,1
Ellis Cashmore,6.2,1
Elodie Yung,5.3,1
Eloise Mumford,5.2,1
Elpidia Carrillo,6.35,2
Elsa Berenguer,7.8,1
Elvis Nolasco,4.1,1
Elvis Polanski,7.0,1
Elvis Presley,5.5,1
Elyes Gabel,6.5,1
Emayatzy Corinealdi,6.0,2
Embeth Davidtz,6.26,5
Emil Hass Christensen,7.8,1
Emil Marwa,6.2,1
Emile Hirsch,6.625,12
Emilia Clarke,6.3999999999999995,3
Emilia Fox,8.0,1
Emilie Autumn,6.0,1
Emilie de Ravin,6.433333333333334,3
Emilio Echevarría,6.699999999999999,2
Emilio Estevez,6.35,4
Emilio Rivera,6.3,1
Emilio Tuki Hito,6.2,1
Emily Alyn Lind,5.8,2
Emily Barclay,6.5,1
Emily Bergl,5.1,1
Emily Blunt,6.34375,16
Emily Browning,5.800000000000001,4
Emily Deschanel,4.6,1
Emily Harrison,7.0,1
Emily Holmes,4.2,1
Emily Meade,7.1,1
Emily Mortimer,6.484615384615385,13
Emily Newman,4.9,1
Emily Osment,6.0,1
Emily Procter,5.4,1
Emily Ratajkowski,6.3,1
Emily Rios,7.0,1
Emily Rogers,0.0,1
Emily Roya O'Brien,5.3,1
Emily VanCamp,5.8,1
Emily Watson,6.966666666666666,12
Emily Woof,4.5,1
Eminem,6.8,1
Emir Kusturica,6.7,1
Emjay Anthony,5.9,1
Emma Bell,5.9,1
Emma Bunton,4.7,1
Emma Caulfield,4.9,1
Emma Eliza Regan,2.0,1
Emma Fitzpatrick,5.9,1
Emma Hitching,7.1,1
Emma Karwandy,6.3,1
Emma Lung,6.9,1
Emma Rigby,6.4,2
Emma Roberts,6.35,10
Emma Stone,6.278571428571429,14
Emma Thompson,6.8307692307692305,13
Emma Watson,6.93,10
Emma de Caunes,6.1,1
Emmanuelle Béart,6.800000000000001,2
Emmanuelle Chriqui,5.35,4
Emmanuelle Devos,6.199999999999999,2
Emmanuelle Riva,7.5,1
Emmanuelle Seigner,6.85,2
Emmanuelle Vaugier,5.2,1
Emmy Rossum,5.4399999999999995,5
Emory Cohen,7.0,2
Emraan Hashmi,3.4,1
Ennio Fantastichini,7.0,1
Ennis Esmer,4.7,1
Enrique Castillo,7.7,1
Enrique Murciano,4.766666666666667,3
Enrique Villén,7.1,1
Enver Gjokaj,5.2,1
Enzo Cilenti,5.0,2
Enzo Tarascio,7.6,1
Eoin Macken,4.8,1
Eri Otoguro,5.3,1
Eric Allan Kramer,3.9,1
Eric Artell,0.0,1
Eric Balfour,4.3,2
Eric Bana,6.25,12
Eric Bogosian,6.15,2
Eric Braeden,5.199999999999999,2
Eric Christian Olsen,5.125,4
Eric Christmas,5.5,1
Eric Dane,6.5,3
Eric Edelstein,6.1,1
Eric Elmosnino,7.0,1
Eric Hoffman,3.0,1
Eric Idle,5.15,4
Eric Jacobson,6.2,1
Eric Johnson,7.05,2
Eric Ladin,5.6,1
Eric Lange,5.8,1
Eric Lively,7.0,1
Eric Lloyd,5.5,1
Eric Mabius,6.2,3
Eric Nenninger,5.5,1
Eric Roberts,4.822222222222222,9
Eric Schlosser,7.4,1
Eric Schweig,7.1,1
Eric Sheffer Stevens,5.2,1
Eric Stoltz,5.8,6
Eric Stonestreet,5.9,1
Eric Stuart,5.9,1
Eric Sykes,7.4,1
Eric Wareheim,5.2,1
Eric Winter,6.4,1
Eric Young,7.0,1
Erica Ash,4.6,1
Erica Gluck,6.0,1
Erica Leerhsen,4.3,1
Erica Linz,6.1,1
Erica Tazel,6.1,1
Erich Anderson,5.9,1
Erik Allen,0.0,1
Erik Larsen,5.7,1
Erik Per Sullivan,6.3,1
Erik Rhodes,7.4,1
Erik Schrody,6.0,1
Erik Stolhanske,5.449999999999999,2
Erika Anderson,5.5,1
Erika Christensen,5.675,4
Eriko Satô,5.4,1
Erin Agostino,5.2,1
Erin Bethea,7.0,1
Erin Blunt,6.9,1
Erin Boyes,3.0,1
Erin Cline,0.0,1
Erin Cottrell,5.8,1
Erin Daniels,6.3,2
Erin Kelly,6.4,1
Erin O'Brien,3.9,1
Erin Pitt,4.9,1
Erin Wasson,6.0,1
Erin Way,5.9,1
Eriq La Salle,6.6,1
Erland Josephson,7.8,1
Ernest Borgnine,6.6,4
Ernest Liu,6.9,1
Ernesto Gómez Cruz,6.2,1
Ernie Dingo,5.35,2
Ernie Hudson,5.733333333333333,3
"Ernie Reyes, Jr.",5.933333333333334,3
Errol Flynn,6.8,1
Eru Potaka-Dewes,6.2,1
Erykah Badu,6.4,1
Esai Morales,5.85,4
Esmeralda Ouertani,6.8,1
Essence Atkins,4.95,4
Essie Davis,6.4,2
Estee Chandler,3.8,1
Estella Warren,4.4,2
Estelle Parsons,4.7,1
Esther Rolle,7.0,1
Esther Williams,7.0,1
Esther Wurmfeld,5.9,1
Ethan Embry,6.76,5
Ethan Hawke,6.690476190476191,21
Ethan Juan,6.6,1
Ethan Peck,5.6,1
Ethan Suplee,6.3999999999999995,3
Ethan Vincent,6.6,1
Ethel Barrymore,6.9,1
Ethel Merman,4.8,1
Eugene Byrd,4.9,1
Eugene Cernan,7.6,1
Eugene Levy,5.8500000000000005,14
Eugene Roche,4.9,1
Eugenio Derbez,6.475,4
Eva Allan,5.7,1
Eva Amurri Martino,5.8,2
Eva Green,6.34,5
Eva LaRue,5.1,1
Eva Longoria,5.116666666666666,6
Eva Marie Saint,5.699999999999999,2
Eva Mendes,5.85625,16
Evan Adams,7.3,2
Evan Arnold,5.2,1
Evan C. Kim,6.4,1
Evan Hannemann,5.2,1
Evan Helmuth,4.6,1
Evan Jones,7.2,1
Evan McGuire,7.3,1
Evan Peters,5.75,2
Evan Rachel Wood,6.470000000000001,10
Evan Ross,5.25,2
Evan Silverberg,7.4,1
Evangeline Lilly,6.8,2
Eve,5.4,2
Eve Arden,4.9,1
Eve Plumb,6.9,1
Evelyne Didi,6.8,1
Everardo Guzman,0.0,1
Everett McGill,6.233333333333333,3
Everett Sloane,7.2,1
Everlyn Sampi,6.8,1
Evgeniya Khirivskaya,7.3,1
Evgeny Mironov,6.3,1
Evy Kasseth Røsten,6.1,1
Ewan McGregor,6.362962962962963,27
Ewen Bremner,6.4,4
Eythor Gudjonsson,5.7,1
Ezra Miller,7.050000000000001,4
F. Murray Abraham,6.859999999999999,5
F.A. Turner,7.4,1
Fabio Tavares,5.0,1
Fabio Testi,6.0,1
Fabrice Luchini,6.7,1
Fabrizio Bentivoglio,5.8,1
Fadi Abi Samra,6.7,1
Fairuza Balk,5.833333333333333,6
Faith Ford,5.75,2
Faith Prince,6.4,1
Faith Wladyka,6.9,1
Faizon Love,5.6,4
Famke Janssen,6.225,16
Fan Bingbing,6.7,1
Fana Mokoena,7.0,2
Fann Wong,6.0,1
Fanny Ardant,6.9,1
Farrah Fawcett,6.35,2
Faune A. Chambers,3.2,1
Fay Masterson,6.5,1
Faye Dunaway,6.083333333333333,6
Faye Wong,6.9,1
Fedja van Huêt,7.7,1
Fele Martínez,5.6,1
Felicia Pearson,4.1,1
Felicity Huffman,6.633333333333333,3
Felicity Jones,6.525,4
Felipe Camacho,6.0,1
Felipe Rose,4.9,1
Felix Billson,8.0,1
Felix Wong,7.2,1
Fergus Riordan,4.7,1
Fernanda Andrade,4.6,1
Fernanda Machado,7.8,1
Fernanda Montenegro,7.15,2
Fernanda Romero,5.5,1
Fernanda Torres,6.7,1
Fernando Cayo,7.1,1
Fernando Lara,6.2,1
Fernando Rey,7.4,1
Ferran Terraza,6.75,2
Feryna Wazheir,7.3,1
Finbar Lynch,7.5,1
Finn Atkins,6.7,1
Finn Carter,6.6,1
Finn Wittrock,7.05,2
Finnegan Williams,6.5,1
Fiona Dourif,4.0,1
Fiona Loewi,6.9,1
Fionnula Flanagan,6.466666666666666,3
Fisher Stevens,4.0,1
Flaco Navaja,5.9,1
Flaminia Cinque,6.35,2
Flavio Parenti,6.9,1
Flip Benham,8.0,1
Flip Schultz,2.9,1
Flora Robson,6.3,1
Florence Foresti,5.8,1
Florence Hall,5.7,1
Florence Henderson,5.7,1
Florian Lukas,7.4,1
Florin Hritcu,0.0,1
Floyd Red Crow Westerman,7.6,1
Forest Whitaker,6.395454545454545,22
Forrest Tucker,6.2,1
Fouad Habash,6.8,1
Fran Drescher,6.7,1
Fran Kranz,6.5,1
France Zobda,5.0,1
Frances Bavier,6.1,1
Frances Bay,6.5,1
Frances Conroy,5.033333333333334,3
Frances Fisher,6.3999999999999995,7
Frances McDormand,6.372727272727272,11
Frances O'Connor,6.12,5
Frances Sternhagen,5.800000000000001,2
Frances de la Tour,5.4,1
Francesca Annis,6.15,2
Francesca Neri,5.5,1
Francesca Smith,5.6,1
Francesco Quinn,0.0,1
Francis Lederer,7.6,1
Francis Ng,7.0,1
Francisco Rabal,7.4,1
Franck Dubosc,5.4,2
Franck Keïta,6.8,1
Franck Khalfoun,6.6,1
Franco Nero,6.3,4
Frank Bongiorno,7.1,1
Frank C. Turner,3.1,1
Frank Collison,6.1,2
Frank Finlay,6.7,3
Frank Gallacher,0.0,1
Frank Grillo,6.34,5
Frank Harper,6.8,2
Frank Hvam,4.9,1
Frank Langella,6.1375,8
Frank McRae,6.1,1
Frank Middlemass,7.7,1
Frank Morgan,6.95,2
Frank Oz,6.4,2
Frank Pietrangolare,6.5,1
Frank Rautenbach,6.0,1
Frank Sinatra,7.2,1
Frank Sivero,6.3,1
Frank Vincent,6.266666666666667,3
Frank Welker,7.4,1
Frank Whaley,7.35,2
Frank Wood,6.4,1
Franka Potente,7.040000000000001,5
Frankie Darro,6.9,1
Frankie Faison,6.175,4
Frankie Muniz,5.228571428571429,7
Frankie Valenti,6.4,1
Franklin Pipp,6.4,1
Franky G,5.9,2
Frans Vorstman,7.0,1
Franz Beckenbauer,4.7,1
Franziska Kruse,8.1,1
François Berléand,6.766666666666667,3
François Bégaudeau,6.8,1
François Civil,6.1,1
François Cluzet,6.540000000000001,5
François Damiens,7.0,1
François Truffaut,7.2,1
François-Xavier Demaison,5.9,1
Françoise Yip,6.5,1
Fred Armisen,5.1,1
Fred Astaire,7.4,1
Fred Dalton Thompson,6.75,2
Fred Gwynne,6.85,2
Fred MacMurray,8.1,1
Fred Melamed,6.6,1
Fred Newman,5.4,1
Fred Ross,7.4,1
Fred Ward,6.1,9
Fred Willard,5.75,4
Fred Williamson,5.6,1
Freddie Highmore,6.557142857142857,7
Freddie Jones,5.7,2
Freddie Prinze Jr.,4.75,12
Freddy Rodríguez,6.449999999999999,2
Frederic Forrest,7.433333333333334,3
Frederick Lau,7.5,1
Frederick Stafford,6.1,1
Frederick Weller,5.7,1
Frederique van der Wal,5.4,1
Fredric March,7.6,1
Fredro Starr,6.3,1
Freida Pinto,7.033333333333334,3
French Stewart,5.15,2
Freya Tingley,6.8,1
Frida Hallgren,6.9,1
Fritz Kortner,7.6,1
Fritz Rasp,8.0,1
Fritz Weaver,6.7,1
Frédéric Pierrot,7.2,1
Fyodor Bondarchuk,5.85,2
Félix Moati,6.0,1
G. W. Bailey,5.433333333333334,3
G.J. Echternkamp,6.8,1
GQ,6.2,1
Gabourey Sidibe,6.9,1
Gabriel Bateman,6.3,1
Gabriel Beistain,5.9,1
Gabriel Byrne,6.153333333333333,15
Gabriel Correa,7.4,1
Gabriel Damon,7.0,1
Gabriel Hogan,5.6,1
Gabriel Iglesias,5.4,1
Gabriel Macht,5.6875,8
Gabriel Mann,6.533333333333334,3
Gabriel Rush,6.2,1
Gabriel Weinstein,7.1,1
Gabriela Castillo,0.0,1
Gabriele Ferzetti,7.2,4
Gabriella Wilde,6.7,1
Gabriella Wright,5.2,1
Gabrielle Brennan,6.1,1
Gabrielle Fitzpatrick,6.3,1
Gabrielle Lopes Benites,7.7,1
Gabrielle Rose,6.8,1
Gabrielle Santamauro,0.0,1
Gabrielle Union,6.1125,8
Gaby Hoffmann,5.95,2
Gad Elmaleh,6.5,1
Gael García Bernal,6.625,8
Gaelan Connell,5.4,1
Gage Golightly,4.550000000000001,2
Gaia Weiss,4.4,1
Gail Cronauer,5.9,1
Gail Kim,2.8,1
Gal Gadot,5.7,1
Gale Hansen,8.1,1
Gale Sondergaard,6.4,1
Galina Tyunina,6.3,1
Ganesh Acharya,5.6,1
Gao Yuanyuan,7.6,1
Garance Clavel,6.1,1
Garba Touré,5.0,1
Garcelle Beauvais,5.5,1
Gareth Reeves,6.0,1
Garette Ratliff Henson,5.65,2
Garikayi Mutambirwa,5.5,1
Garret Dillahunt,6.333333333333333,3
Garrett Hedlund,6.3,7
Garrett Hines,5.4,1
Garrison Keillor,6.4,1
Garry Marshall,5.6,1
Garry Shandling,5.133333333333334,3
Garth Hudson,7.9,1
Gary 'G. Thang' Johnson,3.0,1
Gary Beach,6.1,1
Gary Busey,5.9,1
Gary Cole,6.075,4
Gary Conway,4.9,1
Gary Cooper,6.9,2
Gary Farmer,6.6,1
Gary Grubbs,5.5,1
Gary Kemp,6.1,1
Gary Lewis,7.066666666666666,3
Gary Lockwood,7.9,1
Gary Oldman,6.484,25
Gary Schwartz,7.1,1
Gary Sinise,6.16,10
Gary Stretch,7.2,1
Gary Sweet,6.2,1
Gary Valentine,0.0,1
Gaspard Ulliel,6.55,2
Gastone Moschin,7.6,1
Gastón Pauls,7.4,1
Gattlin Griffith,6.7,1
Gauhar Khan,7.0,1
Gaurav Gera,2.3,1
Gautam Belur,7.2,1
Gavin MacLeod,5.2,1
Gavin McInnes,5.4,1
Gavin Rossdale,5.8,1
Gaye Brown,5.3,1
Geena Davis,6.2,6
Gemma Arterton,5.7,6
Gemma Chan,7.0,2
Gemma Jones,6.133333333333333,3
Gemma-Leah Devereux,5.5,1
Gemmenne de la Peña,6.0,1
Gena Rowlands,6.75,4
Gena Shaw,5.0,1
Gene Dinovi,5.7,1
Gene Hackman,6.35,22
Gene Kelly,7.199999999999999,2
Gene Tagaban,8.0,1
Gene Tierney,6.0,1
Gene Wilder,7.433333333333334,3
Genevieve Bachman,7.2,1
Genevieve O'Reilly,0.0,1
Geneviève Bujold,5.15,2
Geno Silva,5.8,1
Geoff Gustafson,7.0,1
Geoff Pierson,6.6000000000000005,3
Geoff Stults,5.5,2
Geoffrey Arend,6.9,2
Geoffrey Lewis,5.866666666666667,3
Geoffrey Rush,6.552941176470589,17
George Brent,6.1,1
George Buck Flower,7.1,1
George C. Scott,7.633333333333333,3
George Carlin,5.75,4
George Chakiris,7.0,1
George Clooney,6.386206896551724,29
George Cole,5.7,1
George Dzundza,6.3,3
George Furth,3.5,1
George Gaynes,4.1,1
George H. W. Bush,7.0,2
George Hamilton,5.9,2
George Harris,7.05,2
George Harrison,7.3,1
George Kennedy,6.25,4
George Lampman,7.2,1
George Lazenby,6.5,1
George Lopez,5.3,4
George McLaren,5.8,1
George P. Wilbur,5.9,1
George Peppard,5.0,1
George Perez,5.9,1
George Raft,8.0,1
George Riddle,5.4,1
George Sanders,6.550000000000001,2
George Segal,6.1,2
George Takei,6.3999999999999995,7
George Tokoro,7.5,2
George Tyne,7.0,1
George W. Bush,7.133333333333333,6
Georgia Groome,6.5,1
Georgia King,5.4,1
Georgie Henley,6.425,4
Georgina Cates,7.433333333333334,3
Georgina Cordova,5.8,1
Georgina Reilly,6.35,2
Gerald Burke,7.2,1
Gerald McRaney,6.966666666666666,3
Gerald R. Molen,7.6,1
Gerald S. O'Loughlin,7.4,1
Geraldine Chaplin,7.2,2
Geraldine Hughes,6.5,1
Geraldine James,6.6,1
Geraldine Somerville,6.8,1
Gerard Butler,6.232,25
Gerard Crossan,7.2,1
Gerard Hendrick,7.3,1
Gerard Kearney,7.1,1
Gerard McSorley,6.699999999999999,2
Gerard Plunkett,6.7,1
Gerardo Taracena,6.699999999999999,2
Geri Halliwell,4.7,1
