cast_member_list,vote_average,movie_count
Alberto San Juan,7.0,1
Alden Ehrenreich,5.65,2
Aldis Hodge,7.7,1
Aldo Baglio,7.3,1
Aldo Giuffrè,8.1,1
Alec Baldwin,6.255172413793104,29
Alec Guinness,7.014285714285714,7
Alec Mapa,6.4,1
Alec McCowen,7.1,1
Alec Newman,6.2,1
Alec Wilson,4.7,1
Aleisha Allen,5.2,1
Aleisha Force,3.4,1
Alejandro Furth,4.6,1
Alejandro Urdapilleta,6.8,1
Aleksa Palladino,4.5,1
Aleksandr Bashirov,6.3,1
Aleksandr Chutko,6.7,1
Aleksandr Ilin,6.7,1
Aleksandr Robak,7.3,1
Aleksey Chadov,4.9,1
Aleksia Landeau,6.5,1
Alessandro Gassman,3.1,2
Alessandro Lindblad,6.3,1
Alessandro Nivola,6.366666666666667,6
Alessandro Preziosi,7.0,1
Alex Anfanger,0.0,1
Alex Angulo,7.6,1
Alex Barringer,4.2,1
Alex Boling,6.2,1
Alex Borstein,6.25,2
Alex Briley,4.9,1
Alex Colon,5.3,1
Alex D. Linz,5.4,1
Alex Désert,6.8,1
Alex Feldman,4.9,1
Alex Gibney,6.6,1
Alex Karpovsky,6.7,1
Alex Kendrick,6.449999999999999,4
Alex Kingston,6.4,1
Alex Lawther,7.5,1
Alex Manette,7.0,1
Alex McArthur,6.2,1
Alex Michaeletos,6.9,1
Alex O'Loughlin,5.7,1
Alex Petrovitch,3.8,1
Alex Pettyfer,6.083333333333333,6
Alex Reid,6.8,1
Alex Rocco,6.3999999999999995,3
Alex Roe,5.6,1
Alex Russell,6.199999999999999,2
Alex Thomas,5.3,1
Alex Veadov,6.5,1
Alex Vincent,6.05,2
Alex Winter,6.300000000000001,2
Alexa Nikolas,4.5,1
Alexa PenaVega,5.628571428571428,7
Alexander Asefa,6.3,1
Alexander Carroll,7.05,2
Alexander DiPersia,6.3,1
Alexander G. Eckert,0.0,1
Alexander Godunov,7.5,1
Alexander Gould,7.6,1
Alexander Hörbe,6.3,1
Alexander Karim,4.5,1
Alexander Ludwig,5.5,1
Alexander Morton,6.5,1
Alexander Polinsky,6.6,1
Alexander Pollock,5.0,1
Alexander Scheer,6.7,1
Alexander Siddig,5.666666666666667,3
Alexander Skarsgård,6.033333333333334,6
Alexander Wraith,2.8,1
Alexander Zale,5.3,1
Alexandra Callas,4.3,1
Alexandra Daddario,5.8,4
Alexandra Holden,6.15,2
Alexandra Maria Lara,7.15,4
Alexandra Rapaport,7.9,1
Alexandra Williams,6.0,1
Alexandre Rodrigues,8.1,1
Alexandru Potocean,7.3,1
Alexia Rasmussen,5.4,1
Alexie Gilmore,6.5,1
Alexis Biesiada,3.9,1
Alexis Bledel,5.871428571428572,7
Alexis Chang,7.0,1
Alexis Dziena,5.9,2
Alexis Georgoulis,5.6,1
Alexis Kendra,6.2,1
Alexis Smith,7.0,1
Alexz Johnson,5.8,1
Alfie Allen,5.65,2
Alfonso Freeman,7.0,1
Alfre Woodard,6.455555555555556,9
Alfred Abel,8.0,1
Alfred Molina,6.241176470588235,17
Ali Cobrin,5.2,1
Ali Fadhil,7.2,1
Ali Hillis,6.8,1
Ali Kazim,4.9,1
Ali Landry,6.7,1
Ali Larter,6.028571428571429,7
Ali Suliman,6.5,2
Alia Shawkat,6.175,4
Alice Braga,6.3,7
Alice Drummond,7.0,1
Alice Englert,5.199999999999999,2
Alice Evans,4.449999999999999,2
Alice Eve,5.766666666666667,3
Alice Faye,4.8,1
Alice Garner,5.8,1
Alice Hunter,5.2,1
Alice Krige,6.033333333333334,3
Alice Parkinson,5.8,1
Alice Patten,7.2,1
Alice Pol,5.6,1
Alicia Goranson,7.2,1
Alicia Keys,7.4,1
Alicia Mendez,3.5,1
Alicia Silverstone,5.683333333333334,6
Alicia Vela-Bailey,6.3,1
Alicia Vikander,6.3,6
Alicia Witt,6.033333333333334,6
Alicja Bachleda-Curuś,6.666666666666667,3
Aliou Touré,5.0,1
Alisa Khazanova,6.1,1
Alisha Naragsheth,6.6,1
Alison Armitage,6.7,1
Alison Barry,6.5,1
Alison Brie,5.833333333333333,3
Alison Doody,7.6,1
Alison Eastwood,3.15,2
Alison Elliott,5.9,1
Alison Lees-Taylor,4.8,1
Alison Lohman,6.42,5
Alison Moir,4.7,1
Alison Monda,3.5,1
Alison Pill,5.7,3
Alison Raimondi,0.0,1
Alistair McGowan,5.6,1
Aliya,6.5,1
Allan Bryan Weku,0.0,1
Allan Corduner,6.7,1
Allan Gildea,7.2,1
Allegra Carpenter,4.3,1
Allegra Fulton,5.6,1
Allen Altman,7.9,1
Allen Covert,5.633333333333333,3
Allen Danziger,7.2,1
Allen Evangelista,6.4,1
Allen Fiuzat,6.1,1
Allen Joseph,7.5,1
Allen Leech,8.0,1
Allen Payne,4.35,2
Allen Yates,5.3,1
Allie Mickelson,6.8,1
Allison Cratchley,5.8,1
Allison Dean,5.6,1
Allison Egan,0.0,1
Allison Janney,6.122222222222223,9
Allison Mackie,5.8,1
Allison Miller,5.3,3
Allison Paige,5.3,1
Allison Tolman,6.300000000000001,2
Ally Sheedy,6.566666666666666,3
Ally Walker,5.5,1
Allyson Sereboff,5.9,1
Aloma Wright,4.5,1
Alon Friedman,7.6,1
Alonna Shaw,5.3,1
Alphonso McAuley,4.3,1
Altagracia Guzman,7.8,1
Alun Armstrong,5.8,3
Alvaro Guerrero,7.6,1
Aly Michalka,5.35,2
Alycia Debnam-Carey,5.8,1
Alyson Bath,5.2,1
Alyson Hannigan,5.466666666666666,6
Alyson Stoner,6.6,1
Alyssa Milano,5.6,1
Amancaya Aguilar,6.6,1
Amanda Brooks,4.1,1
Amanda Bynes,6.1,5
Amanda Crew,6.633333333333333,3
Amanda Detmer,5.466666666666666,3
Amanda Fuller,6.3,1
Amanda Lear,6.5,1
Amanda Peet,5.8133333333333335,15
Amanda Plummer,6.966666666666666,3
Amanda Redman,7.0,1
Amanda Schull,5.65,2
Amanda Seyfried,6.142857142857143,14
Amanda Tapping,6.9,1
Amanda Wyss,7.2,1
Amara Miller,6.7,1
Amaury Nolasco,5.5,1
Amber Armstrong,5.9,1
Amber Heard,5.925,8
Amber Marie Bollinger,5.5,1
Amber Marshall,2.6,1
Amber Rose Revah,5.9,1
Amber Smith,4.8,1
Amber Tamblyn,6.125,4
Amber Valletta,6.016666666666667,6
Amber Willenborg,6.5,1
Amelia Curtis,3.2,1
Amelia Warner,6.7,1
America Ferrera,6.383333333333333,6
America Olivo,6.0,1
Ami Ayalon,6.5,1
Amidou,7.4,1
Amie Petersen,6.3,1
